method,dataset,selected_seed,auc_best,ap_best,selection_metric
CVTGAD,ADFA-LD,33,0.669632,0.6032882886190574,auc
CVTGAD,FlowGraph,22,0.849609375,0.9055151958632492,auc
CVTGAD,HDFS,11,0.6888402555910544,0.5952082232765923,auc
CVTGAD,TraceLog,33,0.630756,0.6886275178645218,auc
DeepTraLog,ADFA-LD,33,0.7630362850113689,0.4406505139017268,auc
DeepTraLog,FlowGraph,22,1.0,1.0,auc
DeepTraLog,HDFS,11,0.751476013215029,0.642924271329492,auc
DeepTraLog,TraceLog,33,0.6660193058844626,0.5835169244993317,auc
GLADMamba,ADFA-LD,33,0.71456,0.6450055980933367,auc
GLADMamba,FlowGraph,33,0.97265625,0.9854166666666666,auc
GLADMamba,HDFS,33,0.7591533546325878,0.7658350655705684,auc
GLADMamba,TraceLog,22,0.6745800000000001,0.7325229821259394,auc
GLocalKD,ADFA-LD,33,0.7338688313886321,0.4291166297367305,auc
GLocalKD,FlowGraph,33,0.96544,0.9765735526741092,auc
GLocalKD,HDFS,22,0.7603886206708845,0.6489137137995264,auc
GLocalKD,TraceLog,33,0.6863165392529131,0.6316316866199522,auc
HGT,ADFA-LD,22,0.810745445670597,0.5052515703535922,auc
HGT,FlowGraph,11,0.806,0.6073861718821056,auc
HGT,HDFS,11,0.7578364786721324,0.6460893298468748,auc
HGT,TraceLog,33,0.7243386931932625,0.6288917402412012,auc
HRA-GNN,ADFA-LD,9,0.8298647989030855,0.5181994135786776,auc
HRA-GNN,FlowGraph,10,1.0,1.0,auc
HRA-GNN,HDFS,5,0.7573497083565377,0.6436534166983952,auc
HRA-GNN,TraceLog,15,0.8271538422644531,0.776539388023722,auc
HRGCN,ADFA-LD,22,0.8245893315738222,0.5224942575464486,auc
HRGCN,FlowGraph,11,1.0,1.0,auc
HRGCN,HDFS,33,0.7473777212030869,0.6427244785296893,auc
HRGCN,TraceLog,33,0.7884239569354499,0.7319019794969213,auc
MUSE,ADFA-LD,11,0.683468,0.616651812461495,auc
MUSE,HDFS,11,0.7445591054313099,0.7519935526287809,auc
MUSE,TraceLog,11,0.550772,0.595018609558084,auc
OCHetGCN,ADFA-LD,22,0.7965308727976472,0.5094655082459689,auc
OCHetGCN,FlowGraph,33,1.0,1.0,auc
OCHetGCN,HDFS,22,0.7448255792043348,0.6359881634584044,auc
OCHetGCN,TraceLog,33,0.7481023321842197,0.6578015399421652,auc
SIGNET,ADFA-LD,33,0.636716,0.5904011050649238,auc
SIGNET,FlowGraph,33,0.677734375,0.5591828208971247,auc
SIGNET,HDFS,33,0.6959137380191693,0.7084693412759708,auc
SIGNET,TraceLog,11,0.4923800000000001,0.5455444433987506,auc
